Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count,Index Field
Egypt,A,1,GK,Essam El-Hadary (captain),1/15/1973,45,157,0,Al-Taawoun,1,Egypt1GK26679
Egypt,A,2,DF,Ali Gabr,1/1/1989,29,20,1,West Bromwich Albion,1,Egypt2DF32509
Egypt,A,3,DF,Ahmed Elmohamady,9/9/1987,30,77,2,Aston Villa,1,Egypt3DF32029
Egypt,A,4,MF,Omar Gaber,1/30/1992,26,23,0,Los Angeles FC,1,Egypt4MF33633
Egypt,A,5,MF,Sam Morsy,9/10/1991,26,4,0,Wigan Athletic,1,Egypt5MF33491
Egypt,A,6,DF,Ahmed Hegazi,1/25/1991,27,44,1,West Bromwich Albion,1,Egypt6DF33263
Egypt,A,7,DF,Ahmed Fathy,11/10/1984,33,125,3,Al Ahly,1,Egypt7DF30996
Egypt,A,8,MF,Tarek Hamed,10/24/1988,29,20,0,Zamalek,1,Egypt8MF32440
Egypt,A,9,FW,Marwan Mohsen,2/26/1989,29,23,4,Al Ahly,1,Egypt9FW32565
Egypt,A,10,FW,Mohamed Salah,6/15/1992,25,57,33,Liverpool,1,Egypt10FW33770
Egypt,A,11,FW,Kahraba,4/13/1994,24,18,3,Al-Ittihad,1,Egypt11FW34437
Egypt,A,12,DF,Ayman Ashraf,4/9/1991,27,4,0,Al Ahly,1,Egypt12DF33337
Egypt,A,13,DF,Mohamed Abdel-Shafy,7/1/1985,32,50,1,Al-Fateh,1,Egypt13DF31229
Egypt,A,14,FW,Ramadan Sobhi,1/23/1997,21,22,1,Stoke City,1,Egypt14FW35453
Egypt,A,15,DF,Mahmoud Hamdy,6/1/1995,23,0,0,Zamalek,1,Egypt15DF34851
Egypt,A,16,GK,Sherif Ekramy,7/10/1983,34,22,0,Al Ahly,1,Egypt16GK30507
Egypt,A,17,MF,Mohamed Elneny,7/11/1992,25,60,5,Arsenal,1,Egypt17MF33796
Egypt,A,18,FW,Shikabala,3/5/1986,32,29,2,Al-Raed,1,Egypt18FW31476
Egypt,A,19,MF,Abdallah Said,7/13/1985,32,35,6,KuPS,1,Egypt19MF31241
Egypt,A,20,DF,Saad Samir,4/1/1989,29,11,0,Al Ahly,1,Egypt20DF32599
Egypt,A,21,MF,Trézéguet,10/1/1994,23,23,2,Kas?mpa?a,1,Egypt21MF34608
Egypt,A,22,FW,Amr Warda,9/17/1993,24,15,0,Atromitos,1,Egypt22FW34229
Egypt,A,23,GK,Mohamed El-Shenawy,12/18/1988,29,2,0,Al Ahly,1,Egypt23GK32495
Russia,A,1,GK,Igor Akinfeev (captain),4/8/1986,32,105,0,CSKA Moscow,1,Russia1GK31510
Russia,A,2,DF,Mário Fernandes,9/19/1990,27,4,0,CSKA Moscow,1,Russia2DF33135
Russia,A,3,DF,Ilya Kutepov,7/29/1993,24,6,0,Spartak Moscow,1,Russia3DF34179
Russia,A,4,DF,Sergei Ignashevich,7/14/1979,38,121,8,CSKA Moscow,1,Russia4DF29050
Russia,A,5,DF,Andrei Semyonov,3/24/1989,29,6,0,Akhmat Grozny,1,Russia5DF32591
Russia,A,6,MF,Denis Cheryshev,12/26/1990,27,11,0,Villarreal,1,Russia6MF33233
Russia,A,7,MF,Daler Kuzyayev,1/15/1993,25,5,0,Zenit Saint Petersburg,1,Russia7MF33984
Russia,A,8,MF,Yury Gazinsky,7/20/1989,28,5,0,Krasnodar,1,Russia8MF32709
Russia,A,9,MF,Alan Dzagoev,6/17/1990,27,56,9,CSKA Moscow,1,Russia9MF33041
Russia,A,10,FW,Fyodor Smolov,2/9/1990,28,31,12,Krasnodar,1,Russia10FW32913
Russia,A,11,MF,Roman Zobnin,2/11/1994,24,11,0,Spartak Moscow,1,Russia11MF34376
Russia,A,12,GK,Andrey Lunyov,11/13/1991,26,3,0,Zenit Saint Petersburg,1,Russia12GK33555
Russia,A,13,DF,Fyodor Kudryashov,4/5/1987,31,18,0,Rubin Kazan,1,Russia13DF31872
Russia,A,14,DF,Vladimir Granat,5/22/1987,31,12,1,Rubin Kazan,1,Russia14DF31919
Russia,A,15,MF,Aleksei Miranchuk,10/17/1995,22,17,4,Lokomotiv Moscow,1,Russia15MF34989
Russia,A,16,MF,Anton Miranchuk,10/17/1995,22,5,0,Lokomotiv Moscow,1,Russia16MF34989
Russia,A,17,MF,Aleksandr Golovin,5/30/1996,22,18,2,CSKA Moscow,1,Russia17MF35215
Russia,A,18,MF,Yuri Zhirkov,8/20/1983,34,83,2,Zenit Saint Petersburg,1,Russia18MF30548
Russia,A,19,MF,Aleksandr Samedov,7/19/1984,33,47,6,Spartak Moscow,1,Russia19MF30882
Russia,A,20,GK,Vladimir Gabulov,10/19/1983,34,10,0,Club Brugge,1,Russia20GK30608
Russia,A,21,MF,Aleksandr Yerokhin,10/13/1989,28,17,0,Zenit Saint Petersburg,1,Russia21MF32794
Russia,A,22,FW,Artem Dzyuba,8/22/1988,29,23,11,Arsenal Tula,1,Russia22FW32377
Russia,A,23,DF,Igor Smolnikov,8/8/1988,29,26,0,Zenit Saint Petersburg,1,Russia23DF32363
Saudi Arabia,A,1,GK,Abdullah Al-Mayouf,1/23/1987,31,10,0,Al-Hilal,1,Saudi Arabia1GK31800
Saudi Arabia,A,2,DF,Mansoor Al-Harbi,10/19/1987,30,39,1,Al-Ahli,1,Saudi Arabia2DF32069
Saudi Arabia,A,3,DF,Osama Hawsawi (captain),3/31/1984,34,134,7,Al-Hilal,1,Saudi Arabia3DF30772
Saudi Arabia,A,4,DF,Ali Al-Bulaihi,11/21/1989,28,3,0,Al-Hilal,1,Saudi Arabia4DF32833
Saudi Arabia,A,5,DF,Omar Hawsawi,9/27/1985,32,41,3,Al-Nassr,1,Saudi Arabia5DF31317
Saudi Arabia,A,6,DF,Mohammed Al-Breik,9/15/1992,25,10,1,Al-Hilal,1,Saudi Arabia6DF33862
Saudi Arabia,A,7,MF,Salman Al-Faraj,8/1/1989,28,42,3,Al-Hilal,1,Saudi Arabia7MF32721
Saudi Arabia,A,8,MF,Yahya Al-Shehri,6/26/1990,27,56,8,Leganés,1,Saudi Arabia8MF33050
Saudi Arabia,A,9,MF,Hattan Bahebri,7/16/1992,25,4,0,Al-Shabab,1,Saudi Arabia9MF33801
Saudi Arabia,A,10,FW,Mohammad Al-Sahlawi,1/10/1987,31,39,28,Al-Nassr,1,Saudi Arabia10FW31787
Saudi Arabia,A,11,MF,Abdulmalek Al-Khaibri,3/13/1986,32,36,0,Al-Hilal,1,Saudi Arabia11MF31484
Saudi Arabia,A,12,MF,Mohamed Kanno,9/22/1994,23,6,1,Al-Hilal,1,Saudi Arabia12MF34599
Saudi Arabia,A,13,DF,Yasser Al-Shahrani,5/25/1992,26,36,0,Al-Hilal,1,Saudi Arabia13DF33749
Saudi Arabia,A,14,MF,Abdullah Otayf,8/3/1992,25,15,1,Al-Hilal,1,Saudi Arabia14MF33819
Saudi Arabia,A,15,MF,Abdullah Al-Khaibari,8/16/1996,21,4,0,Al-Shabab,1,Saudi Arabia15MF35293
Saudi Arabia,A,16,MF,Housain Al-Mogahwi,3/24/1988,30,17,1,Al-Ahli,1,Saudi Arabia16MF32226
Saudi Arabia,A,17,MF,Taisir Al-Jassim,7/25/1984,33,131,18,Al-Ahli,1,Saudi Arabia17MF30888
Saudi Arabia,A,18,MF,Salem Al-Dawsari,8/19/1991,26,32,4,Villarreal,1,Saudi Arabia18MF33469
Saudi Arabia,A,19,FW,Fahad Al-Muwallad,9/14/1994,23,44,10,Levante,1,Saudi Arabia19FW34591
Saudi Arabia,A,20,FW,Muhannad Assiri,10/14/1986,31,18,4,Al-Ahli,1,Saudi Arabia20FW31699
Saudi Arabia,A,21,GK,Yasser Al-Mosailem,2/27/1984,34,32,0,Al-Ahli,1,Saudi Arabia21GK30739
Saudi Arabia,A,22,GK,Mohammed Al-Owais,10/10/1991,26,6,0,Al-Ahli,1,Saudi Arabia22GK33521
Saudi Arabia,A,23,DF,Motaz Hawsawi,2/17/1992,26,17,0,Al-Ahli,1,Saudi Arabia23DF33651
Uruguay,A,1,GK,Fernando Muslera,6/16/1986,31,96,0,Galatasaray,1,Uruguay1GK31579
Uruguay,A,2,DF,José Giménez,1/20/1995,23,41,4,Atlético Madrid,1,Uruguay2DF34719
Uruguay,A,3,DF,Diego Godín (captain),2/16/1986,32,115,8,Atlético Madrid,1,Uruguay3DF31459
Uruguay,A,4,DF,Guillermo Varela,3/24/1993,25,3,0,Peñarol,1,Uruguay4DF34052
Uruguay,A,5,MF,Carlos Sánchez,12/2/1984,33,35,1,Monterrey,1,Uruguay5MF31018
Uruguay,A,6,MF,Rodrigo Bentancur,6/25/1997,20,6,0,Juventus,1,Uruguay6MF35606
Uruguay,A,7,MF,Cristian Rodríguez,9/30/1985,32,104,11,Peñarol,1,Uruguay7MF31320
Uruguay,A,8,MF,Nahitan Nández,12/28/1995,22,11,0,Boca Juniors,1,Uruguay8MF35061
Uruguay,A,9,FW,Luis Suárez,1/24/1987,31,97,50,Barcelona,1,Uruguay9FW31801
Uruguay,A,10,FW,Giorgian De Arrascaeta,6/1/1994,24,13,1,Cruzeiro,1,Uruguay10FW34486
Uruguay,A,11,FW,Cristhian Stuani,10/12/1986,31,40,5,Girona,1,Uruguay11FW31697
Uruguay,A,12,GK,Martín Campaña,5/29/1989,29,1,0,Independiente,1,Uruguay12GK32657
Uruguay,A,13,DF,Gastón Silva,3/5/1994,24,17,0,Independiente,1,Uruguay13DF34398
Uruguay,A,14,MF,Lucas Torreira,2/11/1996,22,2,0,Sampdoria,1,Uruguay14MF35106
Uruguay,A,15,MF,Matías Vecino,8/24/1991,26,21,1,Inter Milan,1,Uruguay15MF33474
Uruguay,A,16,DF,Maxi Pereira,6/8/1984,33,124,3,Porto,1,Uruguay16DF30841
Uruguay,A,17,MF,Diego Laxalt,2/7/1993,25,5,0,Genoa,1,Uruguay17MF34007
Uruguay,A,18,FW,Maxi Gómez,8/14/1996,21,4,0,Celta Vigo,1,Uruguay18FW35291
Uruguay,A,19,DF,Sebastián Coates,10/7/1990,27,30,1,Sporting CP,1,Uruguay19DF33153
Uruguay,A,20,FW,Jonathan Urretaviscaya,3/19/1990,28,4,0,Monterrey,1,Uruguay20FW32951
Uruguay,A,21,FW,Edinson Cavani,2/14/1987,31,100,42,Paris Saint-Germain,1,Uruguay21FW31822
Uruguay,A,22,DF,Martín Cáceres,4/7/1987,31,75,4,Lazio,1,Uruguay22DF31874
Uruguay,A,23,GK,Martín Silva,3/25/1983,35,11,0,Vasco da Gama,1,Uruguay23GK30400
Iran,B,1,GK,Alireza Beiranvand,9/21/1992,25,21,0,Persepolis,1,Iran1GK33868
Iran,B,2,MF,Mehdi Torabi,9/10/1994,23,16,4,Saipa,1,Iran2MF34587
Iran,B,3,DF,Ehsan Hajsafi,2/25/1990,28,93,6,Olympiacos,1,Iran3DF32929
Iran,B,4,DF,Rouzbeh Cheshmi,7/24/1993,24,9,1,Esteghlal,1,Iran4DF34174
Iran,B,5,DF,Milad Mohammadi,9/29/1993,24,18,0,Akhmat Grozny,1,Iran5DF34241
Iran,B,6,MF,Saeid Ezatolahi,10/1/1996,21,25,1,Amkar Perm,1,Iran6MF35339
Iran,B,7,MF,Masoud Shojaei (captain),6/9/1984,33,73,8,AEK Athens,1,Iran7MF30842
Iran,B,8,DF,Morteza Pouraliganji,4/19/1992,26,26,2,Al-Sadd,1,Iran8DF33713
Iran,B,9,MF,Omid Ebrahimi,9/16/1987,30,29,0,Esteghlal,1,Iran9MF32036
