Team,#,Pos.,FIFA Popular Name,Birth Date,Shirt Name,Club,Height,Weight,Index Field
Argentina,3,DF,TAGLIAFICO Nicolas,8/31/1992,TAGLIAFICO,AFC Ajax (NED),169,65,Argentina3DF33847
Argentina,22,MF,PAVON Cristian,1/21/1996,PAVÓN,CA Boca Juniors (ARG),169,65,Argentina22MF35085
Argentina,15,MF,LANZINI Manuel,2/15/1993,LANZINI,West Ham United FC (ENG),167,66,Argentina15MF34015
Argentina,18,DF,SALVIO Eduardo,7/13/1990,SALVIO,SL Benfica (POR),167,69,Argentina18DF33067
Argentina,10,FW,MESSI Lionel,6/24/1987,MESSI,FC Barcelona (ESP),170,72,Argentina10FW31952
Argentina,4,DF,ANSALDI Cristian,9/20/1986,ANSALDI,Torino FC (ITA),181,73,Argentina4DF31675
Argentina,5,MF,BIGLIA Lucas,1/30/1986,BIGLIA,AC Milan (ITA),175,73,Argentina5MF31442
Argentina,7,MF,BANEGA Ever,6/29/1988,BANEGA,Sevilla FC (ESP),175,73,Argentina7MF32323
Argentina,14,DF,MASCHERANO Javier,6/8/1984,MASCHERANO,Hebei China Fortune FC (CHN),174,73,Argentina14DF30841
Argentina,21,FW,DYBALA Paulo,11/15/1993,DYBALA,Juventus FC (ITA),177,73,Argentina21FW34288
Argentina,19,FW,AGUERO Sergio,6/2/1988,AGÜERO,Manchester City FC (ENG),172,74,Argentina19FW32296
Argentina,9,FW,HIGUAIN Gonzalo,12/10/1987,HIGUAÍN,Juventus FC (ITA),184,75,Argentina9FW32121
Argentina,11,MF,DI MARIA Angel,2/14/1988,DI MARÍA,Paris Saint-Germain FC (FRA),178,75,Argentina11MF32187
Argentina,20,MF,LO CELSO Giovani,4/9/1996,LO CELSO,Paris Saint-Germain FC (FRA),177,75,Argentina20MF35164
Argentina,13,MF,MEZA Maximiliano,12/15/1992,MEZA,CA Independiente (ARG),180,76,Argentina13MF33953
Argentina,8,DF,ACUNA Marcos,10/28/1991,ACUÑA,Sporting CP (POR),172,77,Argentina8DF33539
Argentina,23,GK,CABALLERO Wilfredo,9/28/1981,CABALLERO,Chelsea FC (ENG),186,80,Argentina23GK29857
Argentina,2,DF,MERCADO Gabriel,3/18/1987,MERCADO,Sevilla FC (ESP),181,81,Argentina2DF31854
Argentina,17,DF,OTAMENDI Nicolas,2/12/1988,OTAMENDI,Manchester City FC (ENG),181,81,Argentina17DF32185
Argentina,16,DF,ROJO Marcos,3/20/1990,ROJO,Manchester United FC (ENG),189,82,Argentina16DF32952
Argentina,6,DF,FAZIO Federico,3/17/1987,FAZIO,AS Roma (ITA),199,85,Argentina6DF31853
Argentina,12,GK,ARMANI Franco,10/16/1986,ARMANI,CA River Plate (ARG),189,85,Argentina12GK31701
Argentina,1,GK,GUZMAN Nahuel,2/10/1986,GUZMÁN,Tigres UANL (MEX),192,90,Argentina1GK31453
Australia,16,DF,BEHICH Aziz,12/16/1990,BEHICH,Bursaspor (TUR),170,63,Australia16DF33223
Australia,10,FW,KRUSE Robbie,10/5/1988,KRUSE,VfL Bochum (GER),180,66,Australia10FW32421
Australia,19,DF,RISDON Joshua,7/27/1992,RISDON,WS Wanderers FC (AUS),169,70,Australia19DF33812
Australia,3,DF,MEREDITH James,4/5/1988,MEREDITH,Millwall FC (ENG),179,71,Australia3DF32238
Australia,13,MF,MOOY Aaron,9/15/1990,MOOY,Huddersfield Town FC (ENG),173,72,Australia13MF33131
Australia,14,FW,MacLAREN Jamie,7/29/1993,MACLAREN,Hibernian FC (SCO),178,72,Australia14FW34179
Australia,21,FW,PETRATOS Dimitrios,11/10/1992,PETRATOS,Newcastle United Jets FC (AUS),176,72,Australia21FW33918
Australia,17,FW,ARZANI Daniel,1/4/1999,ARZANI,Melbourne City FC (AUS),171,73,Australia17FW36164
Australia,4,FW,CAHILL Tim,12/6/1979,CAHILL,Millwall FC (ENG),180,76,Australia4FW29195
Australia,8,MF,LUONGO Massimo,9/25/1992,LUONGO,Queens Park Rangers FC (ENG),176,76,Australia8MF33872
Australia,20,DF,SAINSBURY Trent,1/5/1992,SAINSBURY,Grasshopper Club (SUI),183,76,Australia20DF33608
Australia,22,MF,IRVINE Jackson,3/7/1993,IRVINE,Hull City FC (ENG),180,77,Australia22MF34035
Australia,5,DF,MILLIGAN Mark,8/4/1985,MILLIGAN,Al Ahli SC (KSA),178,78,Australia5DF31263
Australia,15,MF,JEDINAK Mile,8/3/1984,JEDINAK,Aston Villa FC (ENG),188,78,Australia15MF30897
Australia,9,FW,JURIC Tomi,7/22/1991,JURIC,FC Luzern (SUI),190,80,Australia9FW33441
Australia,1,GK,RYAN Mathew,4/8/1992,RYAN,Brighton & Hove Albion FC (ENG),184,82,Australia1GK33702
Australia,6,DF,JURMAN Matthew,12/8/1989,JURMAN,Suwon Samsung Bluewings FC (KOR),190,83,Australia6DF32850
Australia,7,FW,LECKIE Mathew,2/4/1991,LECKIE,Hertha BSC (GER),181,84,Australia7FW33273
Australia,2,DF,DEGENEK Milos,4/28/1994,DEGENEK,Yokohama F-Marinos (JPN),187,85,Australia2DF34452
Australia,11,FW,NABBOUT Andrew,12/17/1992,NABBOUT,Urawa Reds (JPN),178,85,Australia11FW33955
Australia,12,GK,JONES Brad,3/19/1982,JONES,Feyenoord Rotterdam (NED),193,87,Australia12GK30029
Australia,23,MF,ROGIC Tom,12/16/1992,ROGIC,Celtic FC (SCO),189,88,Australia23MF33954
Australia,18,GK,VUKOVIC Danny,3/27/1985,VUKOVIC,KRC Genk (BEL),187,94,Australia18GK31133
Belgium,14,FW,MERTENS Dries,5/6/1987,MERTENS,SSC Napoli (ITA),169,61,Belgium14FW31903
Belgium,11,MF,CARRASCO Yannick,9/4/1993,CARRASCO,Dalian Yifang FC (CHN),180,67,Belgium11MF34216
Belgium,7,MF,DE BRUYNE Kevin,6/28/1991,DE BRUYNE,Manchester City FC (ENG),181,70,Belgium7MF33417
Belgium,16,MF,HAZARD Thorgan,3/29/1993,T. HAZARD,VfL Borussia Mönchengladbach (GER),174,70,Belgium16MF34057
Belgium,17,MF,TIELEMANS Youri,5/7/1997,TIELEMANS,AS Monaco (FRA),176,72,Belgium17MF35557
Belgium,6,MF,WITSEL Axel,1/12/1989,WITSEL,Tianjin Quanjian FC (CHN),186,73,Belgium6MF32520
Belgium,10,FW,HAZARD Eden,1/7/1991,E. HAZARD,Chelsea FC (ENG),173,74,Belgium10FW33245
Belgium,18,FW,JANUZAJ Adnan,2/5/1995,JANUZAJ,Real Sociedad (ESP),180,75,Belgium18FW34735
Belgium,23,DF,DENDONCKER Leander,4/15/1995,DENDONCKER,RSC Anderlecht (BEL),188,76,Belgium23DF34804
Belgium,21,FW,BATSHUAYI Michy,10/2/1993,BATSHUAYI,Borussia Dortmund (GER),185,78,Belgium21FW34244
Belgium,3,DF,VERMAELEN Thomas,11/14/1985,VERMAELEN,FC Barcelona (ESP),183,80,Belgium3DF31365
Belgium,2,DF,ALDERWEIRELD Toby,3/2/1989,ALDERWEIRELD,Tottenham Hotspur FC (ENG),186,81,Belgium2DF32569
Belgium,19,MF,DEMBELE Moussa,7/16/1987,DEMBELE,Tottenham Hotspur FC (ENG),185,82,Belgium19MF31974
Belgium,20,DF,BOYATA Dedryck,11/28/1990,BOYATA,Celtic FC (SCO),188,84,Belgium20DF33205
Belgium,4,DF,KOMPANY Vincent,4/10/1986,KOMPANY,Manchester City FC (ENG),190,85,Belgium4DF31512
Belgium,8,MF,FELLAINI Marouane,11/22/1987,FELLAINI,Manchester United FC (ENG),194,85,Belgium8MF32103
Belgium,22,MF,CHADLI Nacer,8/2/1989,CHADLI,West Bromwich Albion FC (ENG),187,85,Belgium22MF32722
Belgium,5,DF,VERTONGHEN Jan,4/24/1987,VERTONGHEN,Tottenham Hotspur FC (ENG),189,86,Belgium5DF31891
Belgium,13,GK,CASTEELS Koen,6/25/1992,CASTEELS,VfL Wolfsburg (GER),197,86,Belgium13GK33780
Belgium,12,GK,MIGNOLET Simon,3/6/1988,MIGNOLET,Liverpool FC (ENG),193,87,Belgium12GK32208
Belgium,15,DF,MEUNIER Thomas,9/12/1991,MEUNIER,Paris Saint-Germain FC (FRA),190,88,Belgium15DF33493
Belgium,1,GK,COURTOIS Thibaut,5/11/1992,COURTOIS,Chelsea FC (ENG),199,91,Belgium1GK33735
Belgium,9,FW,LUKAKU Romelu,5/13/1993,R. LUKAKU,Manchester United FC (ENG),190,94,Belgium9FW34102
Brazil,18,MF,FRED,3/5/1993,FRED,FC Shakhtar Donetsk (UKR),169,64,Brazil18MF34033
Brazil,21,FW,TAISON,1/13/1988,TAISON,FC Shakhtar Donetsk (UKR),172,64,Brazil21FW32155
Brazil,17,MF,FERNANDINHO,5/4/1985,FERNANDINHO,Manchester City FC (ENG),179,67,Brazil17MF31171
Brazil,22,DF,FAGNER,6/11/1989,FAGNER,SC Corinthians (BRA),168,67,Brazil22DF32670
Brazil,10,FW,NEYMAR,2/5/1992,NEYMAR JR,Paris Saint-Germain FC (FRA),175,68,Brazil10FW33639
Brazil,11,MF,PHILIPPE COUTINHO,6/12/1992,P. COUTINHO,FC Barcelona (ESP),172,68,Brazil11MF33767
Brazil,7,FW,DOUGLAS COSTA,9/14/1990,D. COSTA,Juventus FC (ITA),182,70,Brazil7FW33130
Brazil,6,DF,FILIPE LUIS,8/9/1985,FILIPE LUIS,Atletico Madrid (ESP),182,73,Brazil6DF31268
Brazil,9,FW,GABRIEL JESUS,4/3/1997,G. JESUS,Manchester City FC (ENG),175,73,Brazil9FW35523
Brazil,13,DF,MARQUINHOS,5/14/1994,MARQUINHOS,Paris Saint-Germain FC (FRA),183,75,Brazil13DF34468
Brazil,20,FW,ROBERTO FIRMINO,10/2/1991,FIRMINO,Liverpool FC (ENG),181,76,Brazil20FW33513
Brazil,19,MF,WILLIAN,8/9/1988,WILLIAN,Chelsea FC (ENG),175,77,Brazil19MF32364
Brazil,3,DF,MIRANDA,9/7/1984,MIRANDA,FC Internazionale (ITA),186,78,Brazil3DF30932
Brazil,14,DF,DANILO,7/15/1991,DANILO,Manchester City FC (ENG),184,78,Brazil14DF33434
Brazil,2,DF,THIAGO SILVA,9/22/1984,T. SILVA,Paris Saint-Germain FC (FRA),183,79,Brazil2DF30947
Brazil,12,DF,MARCELO,5/12/1988,MARCELO,Real Madrid CF (ESP),174,80,Brazil12DF32275
Brazil,15,MF,PAULINHO,7/25/1988,PAULINHO,FC Barcelona (ESP),181,81,Brazil15MF32349
Brazil,4,DF,PEDRO GEROMEL,9/21/1985,GEROMEL,Grêmio FBPA (BRA),190,84,Brazil4DF31311
Brazil,5,MF,CASEMIRO,2/23/1992,CASEMIRO,Real Madrid CF (ESP),185,84,Brazil5MF33657
Brazil,8,MF,RENATO AUGUSTO,2/8/1988,R. AUGUSTO,Beijing Guoan (CHN),186,86,Brazil8MF32181
Brazil,23,GK,EDERSON,8/17/1993,EDERSON,Manchester City FC (ENG),188,86,Brazil23GK34198
Brazil,1,GK,ALISSON,10/2/1992,A. BECKER,AS Roma (ITA),193,91,Brazil1GK33879
Brazil,16,GK,CASSIO,6/6/1987,CASSIO,SC Corinthians (BRA),195,92,Brazil16GK31934
Colombia,20,MF,QUINTERO Juan,1/18/1993,J. QUINTERO,CA River Plate (ARG),169,64,Colombia20MF33987
Colombia,17,DF,MOJICA Johan,8/21/1992,J. MOJICA,Girona FC (ESP),185,66,Colombia17DF33837
Colombia,16,MF,LERMA Jefferson,10/25/1994,J. LERMA,Levante UD (ESP),179,70,Colombia16MF34632
Colombia,4,DF,ARIAS Santiago,1/13/1992,ARIAS,PSV Eindhoven (NED),177,71,Colombia4DF33616
Colombia,15,MF,URIBE Mateus,3/21/1991,M. URIBE,Club América (MEX),182,71,Colombia15MF33318
Colombia,9,FW,FALCAO Radamel,2/10/1986,FALCAO,AS Monaco (FRA),177,72,Colombia9FW31453
Colombia,11,MF,CUADRADO Juan,5/26/1988,CUADRADO,Juventus FC (ITA),179,72,Colombia11MF32289
